"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"WaxEster","WaxEster 30:2 +2O",494469.729835519,2007306.06828892,2477968.14889823,559136.843762229,772212.429199313,6848013.92101623,50448.1245462388,4707623.17811557,1017120.88779237
"WaxEster","WaxEster 30:2 +3O",143625.909103331,69657.0070094353,59508.4053720925,0,698384.458224329,16767337.021716,0,45081582.1655621,0
"WaxEster","WaxEster 30:3 +1O",7791382.08816519,3878306.27183144,5810706.00180334,3940760.0732239,6778014.56209814,2313840.20305452,459082.067429511,5903228.05024564,1781819.93010051
"WaxEster","WaxEster 30:3 +3O",11184103.3075247,32770544.5297208,86288794.2811857,15312285.7967734,48160872.6363945,58528880.1656667,8103014.00273453,61732171.7932539,19103844.3288698
"WaxEster","WaxEster 30:4 +3O",1325253.06854665,6316356.73721123,9353677.44076698,1357211.42762186,4984159.77089621,10988414.3047761,841204.26225274,15681882.5723293,3123116.73904624
"WaxEster","WaxEster 30:5",1357833.94040806,8653176.95426385,9222271.86902328,3680243.97863149,7562194.79270924,5339170.36149545,3849809.45862043,5077451.84924656,2914095.20294916
"WaxEster","WaxEster 30:5 +1O",1363750.69537437,5024092.53785625,4250892.55693692,1640664.56504088,3742497.61759962,2735443.0771275,858671.773637771,3998226.8652972,2154539.19569227
"WaxEster","WaxEster 30:6 +1O",1122741.1140451,3395599.65934456,4166988.05919164,2392518.6924402,1492315.2841572,695856.795219264,1156196.56006149,2583043.8716911,3168367.62713664
"WaxEster","WaxEster 32:0 +2O",858170.795278814,4055345.5179073,3422658.9508827,1518629.43951972,5591060.5128509,2544959.75218954,1637921.05578248,2011482.10697968,892160.783336316
"WaxEster","WaxEster 32:0 +3O",880846.071400371,6945198.1967758,5615978.17154344,3172732.02881002,9091438.82294136,11284207.9627429,3641843.76278797,3952441.38909044,1648499.33624755
